,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
51,Sat Jun 09 11:34:37 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",52
52,Sat Jun 09 11:34:23 +0000 2018,@BBC,-0.296,0.0,0.913,0.087,"RT @britologywatch: Can the @BBC stop referring to England football fans in Russia as 'British' or coming from 'the UK'? How many Scots, We…",53
53,Sat Jun 09 11:34:11 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,54
54,Sat Jun 09 11:33:55 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"@FriseSally @BBC The Beeb, to be expected",55
55,Sat Jun 09 11:33:53 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,56
56,Sat Jun 09 11:32:34 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",57
57,Sat Jun 09 11:32:11 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,58
58,Sat Jun 09 11:32:00 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@soapachu @BBC The 2012 Olympic closing ceremony was epic. I’d watch that again!,59
59,Sat Jun 09 11:31:55 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",60
60,Sat Jun 09 11:31:48 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @katharinemulc: Gone are the days of the black book of reliable contacts and the @BBC are now tracking the balance of contributors progr…,61
61,Sat Jun 09 11:31:48 +0000 2018,@BBC,0.079,0.147,0.717,0.135,Very sad to hear @BBC commentators celebrating the fact that we still have soldiers operating in several foreign co… https://t.co/37rMmNegUH,62
62,Sat Jun 09 11:31:17 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @jsoler63: @baphomed75 @eucopresident @thevocaleurope @EU_Commission @JunckerEU @SZ @DerSPIEGEL @BBC @lemonde_pol @FT @nytimes @ScotNati…,63
63,Sat Jun 09 11:30:18 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",64
64,Sat Jun 09 11:30:11 +0000 2018,@BBC,0.5106,0.142,0.858,0.0,RT @decisionalysis: Looking for a talented researcher to work on #AI and #responsibility with @BBC. This is an @ahrcpress funded project. Y…,65
65,Sat Jun 09 11:30:08 +0000 2018,@BBC,0.3802,0.126,0.874,0.0,"Looking forward to seeing the @missviper91 documentary on @BBC 1 on Monday at 7.30pm. Make sure you tune in!

https://t.co/habPQL6PMB",66
66,Sat Jun 09 11:29:52 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@gxzs @saralmevans @BBC Bum Bag Slider.,67
67,Sat Jun 09 11:29:42 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,68
68,Sat Jun 09 11:29:42 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",69
69,Sat Jun 09 11:29:28 +0000 2018,@BBC,0.0,0.0,1.0,0.0,Does MI5 still blacklist left wingers from working at the @BBC ? Do we still have any journalists left who’d invest… https://t.co/GqpLRPZXKU,70
70,Sat Jun 09 11:29:27 +0000 2018,@BBC,-0.4199,0.0,0.811,0.189,@bbc providing the world with wall-wall opulence whilst @BBCNews provides … Olympus has fallen!,71
71,Sat Jun 09 11:29:18 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,72
72,Sat Jun 09 11:29:16 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,73
